Postal Code,City,State
71101,Shreveport,Louisiana
70433,Covington,Louisiana
30303,Atlanta,Georgia
29201,Columbia,North Carolina
30002,Avondale Estates,Georgia
29401,Charleston,South Carolina
29601,Greenville,South Carolina
29910,Bluffton,South Carolina
35005,Adamsville,Alabama
28202,Charlotte,North Carolina
28801,Asheville,North Carolina
36602,Mobile,Alabama
36104,Montgomery,Alabama
70112,New Orleans,Louisiana
35203,Birmingham,Alabama
70802,Baton Rouge,Louisiana
27514,Chapel Hill,North Carolina
31401,Savannah,Georgia
31901,Columbus,Georgia
34221,Palmetto,Florida
33701,St. Petersburg,Florida
29020,Camden,South Carolina
34994,Stuart,Florida
31908,Columbus,Georgia
39828,Bainbridge,Georgia
33160,Sunny Isles Beach,Florida
32003,Fleming Island,Florida
